country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Afghanistan,7.68M,,,,,4.35M,,,,,4.75M,,,,,4.12M,,,,,5.27M,,,,,5.4M,,,,,5.85M
Angola,825k,,,,,689k,,,,,913k,,,,,717k,,,,,651k,,,,,618k,,,,,668k
Albania,180k,,,,,501k,,,,,824k,,,,,966k,,,,,1.12M,,,,,1.14M,,,,,1.25M
Andorra,3740,,,,,4140,,,,,5580,,,,,5730,,,,,7910,,,,,8740,,,,,11.1k
UAE,79.5k,,,,,97.9k,,,,,111k,,,,,126k,,,,,156k,,,,,178k,,,,,203k
Argentina,430k,,,,,482k,,,,,556k,,,,,805k,,,,,939k,,,,,944k,,,,,1.08M
Armenia,900k,,,,,902k,,,,,877k,,,,,901k,,,,,917k,,,,,945k,,,,,958k
Antigua and Barbuda,21.4k,,,,,27k,,,,,32.8k,,,,,36.4k,,,,,41.3k,,,,,52.2k,,,,,66.6k
Australia,301k,,,,,341k,,,,,382k,,,,,429k,,,,,487k,,,,,518k,,,,,599k
Austria,505k,,,,,490k,,,,,478k,,,,,493k,,,,,517k,,,,,515k,,,,,601k
Azerbaijan,1.63M,,,,,1.71M,,,,,1.63M,,,,,1.46M,,,,,1.16M,,,,,1.13M,,,,,1.16M
Burundi,337k,,,,,541k,,,,,759k,,,,,620k,,,,,284k,,,,,460k,,,,,551k
Belgium,364k,,,,,375k,,,,,399k,,,,,438k,,,,,484k,,,,,516k,,,,,577k
Benin,234k,,,,,276k,,,,,328k,,,,,504k,,,,,541k,,,,,635k,,,,,682k
Burkina Faso,1.02M,,,,,1.22M,,,,,1.28M,,,,,1.35M,,,,,1.43M,,,,,1.52M,,,,,1.6M
Bangladesh,5.45M,,,,,5.42M,,,,,5.44M,,,,,5.49M,,,,,6.32M,,,,,6.83M,,,,,7.4M
Bulgaria,613k,,,,,649k,,,,,689k,,,,,908k,,,,,1.11M,,,,,1.18M,,,,,1.68M
Bahrain,12.8k,,,,,26k,,,,,47.7k,,,,,51.8k,,,,,52.2k,,,,,56.7k,,,,,58.3k
Bahamas,25.1k,,,,,29.6k,,,,,34.3k,,,,,34.7k,,,,,36k,,,,,43k,,,,,53.8k
Bosnia and Herzegovina,862k,,,,,1.37M,,,,,1.5M,,,,,1.5M,,,,,1.57M,,,,,1.59M,,,,,1.69M
Belarus,1.77M,,,,,1.74M,,,,,1.69M,,,,,1.58M,,,,,1.46M,,,,,1.47M,,,,,1.48M
Belize,36.1k,,,,,42k,,,,,48.2k,,,,,51.9k,,,,,57.4k,,,,,63.1k,,,,,52.8k
Bolivia,225k,,,,,284k,,,,,345k,,,,,544k,,,,,780k,,,,,824k,,,,,927k
Brazil,491k,,,,,730k,,,,,940k,,,,,1.19M,,,,,1.5M,,,,,1.5M,,,,,1.9M
Barbados,84.8k,,,,,89.6k,,,,,95k,,,,,93k,,,,,96.2k,,,,,102k,,,,,99.6k
Brunei,26.3k,,,,,35.1k,,,,,45.2k,,,,,45.3k,,,,,44.5k,,,,,45.1k,,,,,45.3k
Bhutan,28.5k,,,,,118k,,,,,120k,,,,,120k,,,,,91.9k,,,,,51.4k,,,,,52k
Botswana,26k,,,,,23.3k,,,,,26.7k,,,,,33.3k,,,,,44.2k,,,,,55.3k,,,,,63.6k
Central African Republic,46.4k,,,,,49.2k,,,,,55.4k,,,,,131k,,,,,246k,,,,,686k,,,,,817k
Canada,994k,,,,,1.06M,,,,,1.14M,,,,,1.19M,,,,,1.27M,,,,,1.26M,,,,,1.29M
Switzerland,326k,,,,,339k,,,,,370k,,,,,502k,,,,,624k,,,,,645k,,,,,714k
Chile,493k,,,,,499k,,,,,512k,,,,,542k,,,,,572k,,,,,618k,,,,,644k
China,4.23M,,,,,5.03M,,,,,5.88M,,,,,7.34M,,,,,8.71M,,,,,10.2M,,,,,10.5M
Cote d'Ivoire,366k,,,,,449k,,,,,539k,,,,,732k,,,,,940k,,,,,1.06M,,,,,1.15M
Cameroon,116k,,,,,139k,,,,,164k,,,,,221k,,,,,279k,,,,,349k,,,,,441k
"Congo, Dem. Rep.",437k,,,,,560k,,,,,862k,,,,,1.13M,,,,,1.3M,,,,,1.57M,,,,,1.83M
"Congo, Rep.",96.4k,,,,,116k,,,,,135k,,,,,173k,,,,,178k,,,,,205k,,,,,224k
Colombia,1.01M,,,,,1.22M,,,,,1.43M,,,,,1.88M,,,,,2.55M,,,,,2.7M,,,,,3.02M
Comoros,40.1k,,,,,51.3k,,,,,70.5k,,,,,96.1k,,,,,109k,,,,,122k,,,,,151k
Cape Verde,91.4k,,,,,107k,,,,,125k,,,,,142k,,,,,153k,,,,,171k,,,,,188k
Costa Rica,69.3k,,,,,85k,,,,,105k,,,,,118k,,,,,132k,,,,,138k,,,,,150k
Cuba,835k,,,,,934k,,,,,1.05M,,,,,1.16M,,,,,1.31M,,,,,1.51M,,,,,1.76M
Cyprus,174k,,,,,163k,,,,,154k,,,,,154k,,,,,163k,,,,,167k,,,,,173k
Czech Republic,565k,,,,,620k,,,,,723k,,,,,752k,,,,,779k,,,,,820k,,,,,1.03M
Germany,2.93M,,,,,3.05M,,,,,3.24M,,,,,3.44M,,,,,3.7M,,,,,3.63M,,,,,3.86M
Djibouti,5310,,,,,6960,,,,,9060,,,,,12k,,,,,13.8k,,,,,17k,,,,,18.4k
Dominica,40.6k,,,,,44.2k,,,,,48.3k,,,,,64k,,,,,73.6k,,,,,72.6k,,,,,78.2k
Denmark,202k,,,,,208k,,,,,218k,,,,,224k,,,,,234k,,,,,237k,,,,,257k
Dominican Republic,458k,,,,,667k,,,,,889k,,,,,1.01M,,,,,1.18M,,,,,1.45M,,,,,1.61M
Algeria,922k,,,,,980k,,,,,1.04M,,,,,1.6M,,,,,1.66M,,,,,1.84M,,,,,2.02M
Ecuador,214k,,,,,326k,,,,,446k,,,,,987k,,,,,1.15M,,,,,1.13M,,,,,1.13M
Egypt,1.32M,,,,,1.49M,,,,,1.71M,,,,,1.81M,,,,,2.59M,,,,,3.15M,,,,,3.61M
Eritrea,171k,,,,,375k,,,,,512k,,,,,299k,,,,,328k,,,,,625k,,,,,803k
Spain,1.44M,,,,,1.36M,,,,,1.29M,,,,,1.11M,,,,,1.09M,,,,,1.27M,,,,,1.49M
Estonia,114k,,,,,130k,,,,,142k,,,,,150k,,,,,154k,,,,,189k,,,,,207k
Ethiopia,1.69M,,,,,816k,,,,,446k,,,,,524k,,,,,680k,,,,,842k,,,,,946k
Finland,251k,,,,,289k,,,,,316k,,,,,301k,,,,,292k,,,,,282k,,,,,312k
Fiji,90.2k,,,,,106k,,,,,132k,,,,,157k,,,,,184k,,,,,209k,,,,,234k
France,1.22M,,,,,1.35M,,,,,1.56M,,,,,1.73M,,,,,1.96M,,,,,2.12M,,,,,2.34M
"Micronesia, Fed. Sts.",7710,,,,,12.1k,,,,,16.9k,,,,,18.3k,,,,,19.4k,,,,,20.6k,,,,,24.9k
Gabon,15.3k,,,,,16.6k,,,,,18k,,,,,41.4k,,,,,36.9k,,,,,43.1k,,,,,48.4k
UK,3.79M,,,,,3.71M,,,,,3.86M,,,,,4.15M,,,,,4.43M,,,,,4.38M,,,,,4.73M
Georgia,919k,,,,,953k,,,,,967k,,,,,886k,,,,,806k,,,,,829k,,,,,861k
Ghana,371k,,,,,428k,,,,,496k,,,,,666k,,,,,762k,,,,,892k,,,,,1M
Guinea,353k,,,,,366k,,,,,377k,,,,,405k,,,,,456k,,,,,493k,,,,,551k
Gambia,36.3k,,,,,38.4k,,,,,45.4k,,,,,61.2k,,,,,77.4k,,,,,97k,,,,,139k
Guinea-Bissau,55.4k,,,,,67.1k,,,,,77.7k,,,,,82.8k,,,,,91.5k,,,,,98.2k,,,,,112k
Equatorial Guinea,36.2k,,,,,46.4k,,,,,59.9k,,,,,71.8k,,,,,84.4k,,,,,117k,,,,,129k
Greece,1.02M,,,,,1M,,,,,983k,,,,,868k,,,,,789k,,,,,820k,,,,,1.09M
Grenada,43.2k,,,,,54.1k,,,,,63.8k,,,,,64.6k,,,,,63.9k,,,,,69.1k,,,,,62.2k
Guatemala,348k,,,,,462k,,,,,583k,,,,,737k,,,,,925k,,,,,1.12M,,,,,1.37M
Guyana,233k,,,,,295k,,,,,362k,,,,,393k,,,,,439k,,,,,481k,,,,,438k
"Hong Kong, China",549k,,,,,617k,,,,,686k,,,,,752k,,,,,862k,,,,,957k,,,,,1.01M
Honduras,156k,,,,,247k,,,,,342k,,,,,449k,,,,,588k,,,,,730k,,,,,985k
Holy See,10,,,,,26,,,,,41,,,,,110,,,,,175,,,,,310,,,,,174
Croatia,426k,,,,,735k,,,,,907k,,,,,839k,,,,,820k,,,,,806k,,,,,1.04M
Haiti,525k,,,,,661k,,,,,802k,,,,,968k,,,,,1.12M,,,,,1.47M,,,,,1.77M
