country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Afghanistan,57.7k,,,,,71.5k,,,,,75.9k,,,,,87.3k,,,,,102k,,,,,339k,,,,,144k
Angola,33.5k,,,,,39.8k,,,,,46.1k,,,,,62.3k,,,,,336k,,,,,632k,,,,,656k
Albania,66k,,,,,71.4k,,,,,76.7k,,,,,64.7k,,,,,52.8k,,,,,52k,,,,,48.8k
Andorra,38.9k,,,,,44.2k,,,,,42.1k,,,,,50.3k,,,,,52.1k,,,,,42.3k,,,,,45.6k
UAE,1.31M,,,,,1.82M,,,,,2.45M,,,,,3.28M,,,,,7.32M,,,,,8M,,,,,8.72M
Argentina,1.65M,,,,,1.6M,,,,,1.54M,,,,,1.67M,,,,,1.81M,,,,,2.09M,,,,,2.28M
Armenia,659k,,,,,694k,,,,,658k,,,,,469k,,,,,211k,,,,,191k,,,,,190k
Antigua and Barbuda,12k,,,,,17.6k,,,,,23.1k,,,,,24.7k,,,,,26.4k,,,,,28.1k,,,,,29.4k
Australia,3.96M,,,,,4.15M,,,,,4.39M,,,,,4.88M,,,,,5.88M,,,,,6.73M,,,,,7.69M
Austria,793k,,,,,895k,,,,,997k,,,,,1.13M,,,,,1.27M,,,,,1.48M,,,,,1.74M
Azerbaijan,361k,,,,,344k,,,,,328k,,,,,302k,,,,,277k,,,,,264k,,,,,252k
Burundi,333k,,,,,255k,,,,,126k,,,,,193k,,,,,247k,,,,,298k,,,,,345k
Belgium,1.28M,,,,,1.29M,,,,,1.27M,,,,,1.25M,,,,,1.5M,,,,,1.78M,,,,,2.01M
Benin,76.8k,,,,,106k,,,,,135k,,,,,248k,,,,,309k,,,,,366k,,,,,394k
Burkina Faso,350k,,,,,464k,,,,,520k,,,,,598k,,,,,674k,,,,,705k,,,,,724k
Bangladesh,882k,,,,,935k,,,,,988k,,,,,1.06M,,,,,1.35M,,,,,1.42M,,,,,2.12M
Bulgaria,21.5k,,,,,32.4k,,,,,43.4k,,,,,61.1k,,,,,76.3k,,,,,124k,,,,,184k
Bahrain,173k,,,,,206k,,,,,239k,,,,,404k,,,,,666k,,,,,722k,,,,,936k
Bahamas,26.9k,,,,,31.7k,,,,,36.5k,,,,,45.5k,,,,,54.7k,,,,,59.2k,,,,,63.6k
Bosnia and Herzegovina,56k,,,,,69.5k,,,,,83k,,,,,47.3k,,,,,38.9k,,,,,38.6k,,,,,36k
Belarus,1.25M,,,,,1.19M,,,,,1.12M,,,,,1.11M,,,,,1.09M,,,,,1.08M,,,,,1.07M
Belize,30.4k,,,,,33.4k,,,,,36.5k,,,,,41.4k,,,,,46.4k,,,,,54.6k,,,,,62k
Bolivia,73.8k,,,,,83.6k,,,,,92.7k,,,,,108k,,,,,123k,,,,,143k,,,,,164k
Brazil,799k,,,,,742k,,,,,685k,,,,,639k,,,,,593k,,,,,710k,,,,,1.08M
Barbados,24k,,,,,26.2k,,,,,28.4k,,,,,30.6k,,,,,32.8k,,,,,34.5k,,,,,34.9k
Brunei,73.2k,,,,,84.7k,,,,,96.3k,,,,,98.4k,,,,,101k,,,,,103k,,,,,112k
Bhutan,23.8k,,,,,28k,,,,,32.1k,,,,,40.3k,,,,,48.4k,,,,,51.1k,,,,,53.6k
Botswana,27.5k,,,,,40.2k,,,,,74.9k,,,,,84.7k,,,,,94.9k,,,,,103k,,,,,110k
Central African Republic,67.2k,,,,,99.7k,,,,,124k,,,,,96.4k,,,,,94.7k,,,,,81.6k,,,,,88.5k
Canada,4.33M,,,,,4.86M,,,,,5.51M,,,,,6.08M,,,,,6.76M,,,,,7.43M,,,,,8.05M
Switzerland,1.39M,,,,,1.48M,,,,,1.57M,,,,,1.81M,,,,,2.08M,,,,,2.26M,,,,,2.49M
Chile,108k,,,,,142k,,,,,177k,,,,,276k,,,,,375k,,,,,640k,,,,,1.65M
China,376k,,,,,442k,,,,,508k,,,,,679k,,,,,850k,,,,,978k,,,,,1.04M
Cote d'Ivoire,1.82M,,,,,2.08M,,,,,2.16M,,,,,2.27M,,,,,2.37M,,,,,2.47M,,,,,2.56M
Cameroon,266k,,,,,245k,,,,,227k,,,,,266k,,,,,291k,,,,,508k,,,,,579k
"Congo, Dem. Rep.",754k,,,,,1.82M,,,,,744k,,,,,623k,,,,,590k,,,,,810k,,,,,953k
"Congo, Rep.",129k,,,,,192k,,,,,306k,,,,,319k,,,,,425k,,,,,390k,,,,,388k
Colombia,104k,,,,,107k,,,,,110k,,,,,107k,,,,,130k,,,,,159k,,,,,1.91M
Comoros,14.1k,,,,,13.9k,,,,,13.8k,,,,,13.2k,,,,,12.6k,,,,,12.6k,,,,,12.5k
Cape Verde,8930,,,,,9980,,,,,11k,,,,,12.7k,,,,,14.4k,,,,,14.9k,,,,,15.8k
Costa Rica,418k,,,,,364k,,,,,311k,,,,,358k,,,,,406k,,,,,412k,,,,,521k
Cuba,34.6k,,,,,26.2k,,,,,18.5k,,,,,11.7k,,,,,7370,,,,,4650,,,,,3020
Cyprus,43.8k,,,,,61.9k,,,,,80.1k,,,,,123k,,,,,188k,,,,,177k,,,,,190k
Czech Republic,110k,,,,,166k,,,,,221k,,,,,323k,,,,,398k,,,,,416k,,,,,541k
Germany,5.94M,,,,,7.46M,,,,,8.99M,,,,,9.4M,,,,,9.81M,,,,,10.2M,,,,,15.8M
Djibouti,122k,,,,,99.8k,,,,,101k,,,,,92.1k,,,,,102k,,,,,112k,,,,,120k
Dominica,2520,,,,,3120,,,,,3720,,,,,4740,,,,,8110,,,,,8090,,,,,8280
Denmark,235k,,,,,303k,,,,,371k,,,,,440k,,,,,501k,,,,,596k,,,,,718k
Dominican Republic,291k,,,,,323k,,,,,356k,,,,,375k,,,,,395k,,,,,549k,,,,,604k
Algeria,274k,,,,,262k,,,,,250k,,,,,198k,,,,,217k,,,,,239k,,,,,250k
Ecuador,78.7k,,,,,115k,,,,,152k,,,,,190k,,,,,375k,,,,,388k,,,,,785k
Egypt,174k,,,,,167k,,,,,185k,,,,,285k,,,,,310k,,,,,354k,,,,,544k
Eritrea,11.8k,,,,,12.4k,,,,,13k,,,,,15.9k,,,,,15.8k,,,,,15.9k,,,,,13.9k
Spain,822k,,,,,1.02M,,,,,1.66M,,,,,4.11M,,,,,6.28M,,,,,5.89M,,,,,6.84M
Estonia,382k,,,,,316k,,,,,250k,,,,,234k,,,,,218k,,,,,195k,,,,,199k
Ethiopia,1.16M,,,,,807k,,,,,611k,,,,,514k,,,,,569k,,,,,1.16M,,,,,1.09M
Finland,63.3k,,,,,99.7k,,,,,136k,,,,,192k,,,,,228k,,,,,315k,,,,,386k
Fiji,13.3k,,,,,13k,,,,,12.7k,,,,,12.4k,,,,,13.4k,,,,,13.8k,,,,,14.1k
France,5.9M,,,,,6.09M,,,,,6.28M,,,,,6.74M,,,,,7.31M,,,,,7.88M,,,,,8.52M
"Micronesia, Fed. Sts.",3690,,,,,3340,,,,,3120,,,,,2910,,,,,2810,,,,,2760,,,,,2830
Gabon,128k,,,,,171k,,,,,214k,,,,,234k,,,,,271k,,,,,379k,,,,,417k
UK,3.65M,,,,,4.16M,,,,,4.73M,,,,,5.93M,,,,,7.12M,,,,,8.41M,,,,,9.36M
Georgia,304k,,,,,152k,,,,,76.1k,,,,,71.3k,,,,,73.1k,,,,,76.7k,,,,,79.4k
Ghana,165k,,,,,253k,,,,,192k,,,,,310k,,,,,338k,,,,,415k,,,,,476k
Guinea,404k,,,,,775k,,,,,560k,,,,,233k,,,,,179k,,,,,127k,,,,,121k
Gambia,118k,,,,,151k,,,,,183k,,,,,182k,,,,,186k,,,,,193k,,,,,216k
Guinea-Bissau,15.4k,,,,,28k,,,,,20.4k,,,,,20.9k,,,,,21.4k,,,,,22.3k,,,,,17.9k
Equatorial Guinea,2740,,,,,3630,,,,,4520,,,,,6590,,,,,8660,,,,,210k,,,,,231k
Greece,618k,,,,,858k,,,,,1.11M,,,,,1.19M,,,,,1.32M,,,,,1.24M,,,,,1.34M
Grenada,4260,,,,,5540,,,,,6830,,,,,6900,,,,,6980,,,,,7060,,,,,7210
Guatemala,264k,,,,,156k,,,,,48.1k,,,,,57.2k,,,,,66.4k,,,,,74.9k,,,,,84.3k
Guyana,4100,,,,,6350,,,,,8610,,,,,10.9k,,,,,8180,,,,,8660,,,,,31.2k
"Hong Kong, China",2.22M,,,,,2.44M,,,,,2.67M,,,,,2.72M,,,,,2.78M,,,,,2.84M,,,,,2.96M
Honduras,270k,,,,,149k,,,,,28.5k,,,,,27.9k,,,,,27.3k,,,,,38.3k,,,,,39.2k
Holy See,762,,,,,778,,,,,790,,,,,798,,,,,783,,,,,790,,,,,809
Croatia,475k,,,,,674k,,,,,585k,,,,,579k,,,,,573k,,,,,561k,,,,,528k
Haiti,19.1k,,,,,18.1k,,,,,17.2k,,,,,16.4k,,,,,17.2k,,,,,18k,,,,,18.9k
Hungary,348k,,,,,322k,,,,,297k,,,,,367k,,,,,437k,,,,,476k,,,,,585k
Indonesia,466k,,,,,379k,,,,,292k,,,,,289k,,,,,307k,,,,,338k,,,,,356k
India,7.59M,,,,,6.95M,,,,,6.41M,,,,,5.94M,,,,,5.57M,,,,,5.21M,,,,,4.88M
Ireland,228k,,,,,227k,,,,,351k,,,,,589k,,,,,731k,,,,,759k,,,,,871k
Iran,4.29M,,,,,2.94M,,,,,2.48M,,,,,2.55M,,,,,2.72M,,,,,2.73M,,,,,2.8M
Iraq,83.6k,,,,,199k,,,,,211k,,,,,135k,,,,,120k,,,,,359k,,,,,366k
Iceland,9580,,,,,12.7k,,,,,15.9k,,,,,25.5k,,,,,35.1k,,,,,39.1k,,,,,65.4k
Israel,1.63M,,,,,1.79M,,,,,1.85M,,,,,1.89M,,,,,1.96M,,,,,2.01M,,,,,1.95M
Italy,1.43M,,,,,1.77M,,,,,2.12M,,,,,3.95M,,,,,5.79M,,,,,5.81M,,,,,6.39M
Jamaica,20.5k,,,,,22.7k,,,,,25k,,,,,24.3k,,,,,23.7k,,,,,23.2k,,,,,23.6k
Jordan,1.15M,,,,,1.54M,,,,,1.93M,,,,,2.2M,,,,,2.79M,,,,,3.17M,,,,,3.46M
