country,year,population_0-19,population_20-39,population_40-59,population_60+
Afghanistan,1950,2090000,2240000,1170000,389000
Afghanistan,1951,2100000,2270000,1180000,394000
Afghanistan,1952,2120000,2300000,1190000,399000
Afghanistan,1953,2150000,2340000,1200000,403000
Afghanistan,1954,2180000,2370000,1210000,407000
Afghanistan,1955,2220000,2400000,1220000,411000
Afghanistan,1956,2260000,2440000,1230000,415000
Afghanistan,1957,2300000,2480000,1240000,418000
Afghanistan,1958,2360000,2520000,1260000,422000
Afghanistan,1959,2400000,2560000,1270000,426000
Afghanistan,1960,2460000,2600000,1290000,431000
Afghanistan,1961,2530000,2640000,1310000,437000
Afghanistan,1962,2610000,2690000,1330000,443000
Afghanistan,1963,2670000,2740000,1350000,450000
Afghanistan,1964,2740000,2800000,1380000,457000
Afghanistan,1965,2800000,2850000,1400000,464000
Afghanistan,1966,2860000,2910000,1430000,472000
Afghanistan,1967,2930000,2980000,1460000,479000
Afghanistan,1968,3000000,3040000,1490000,487000
Afghanistan,1969,3080000,3100000,1520000,495000
Afghanistan,1970,3160000,3160000,1550000,504000
Afghanistan,1971,3270000,3210000,1590000,513000
Afghanistan,1972,3360000,3270000,1620000,523000
Afghanistan,1973,3460000,3340000,1650000,534000
Afghanistan,1974,3560000,3400000,1680000,545000
Afghanistan,1975,3660000,3470000,1720000,555000
Afghanistan,1976,3750000,3530000,1750000,565000
Afghanistan,1977,3850000,3580000,1770000,575000
Afghanistan,1978,3950000,3640000,1800000,584000
Afghanistan,1979,3970000,3640000,1790000,581000
Afghanistan,1980,3840000,3490000,1720000,556000
Afghanistan,1981,3490000,3150000,1540000,500000
Afghanistan,1982,3220000,2890000,1410000,455000
Afghanistan,1983,3210000,2860000,1380000,446000
Afghanistan,1984,3300000,2920000,1410000,450000
Afghanistan,1985,3380000,2970000,1430000,450000
Afghanistan,1986,3390000,2960000,1410000,444000
Afghanistan,1987,3410000,2940000,1400000,439000
Afghanistan,1988,3480000,2970000,1410000,442000
Afghanistan,1989,3610000,3060000,1430000,454000
Afghanistan,1990,3690000,3110000,1440000,460000
Afghanistan,1991,3770000,3160000,1440000,465000
Afghanistan,1992,4110000,3430000,1550000,503000
Afghanistan,1993,4640000,3850000,1720000,565000
Afghanistan,1994,5070000,4180000,1850000,614000
Afghanistan,1995,5340000,4390000,1920000,643000
Afghanistan,1996,5570000,4560000,1980000,668000
Afghanistan,1997,5780000,4730000,2030000,692000
Afghanistan,1998,5980000,4900000,2090000,717000
Afghanistan,1999,6180000,5080000,2150000,742000
Afghanistan,2000,6220000,5130000,2160000,748000
Afghanistan,2001,6240000,5160000,2160000,750000
Afghanistan,2002,6550000,5430000,2260000,788000
Afghanistan,2003,6940000,5760000,2400000,837000
